text,cleaned_text,label,split,post_id
nigger males are faggots on the down low another reason why aids figures so prominently in their ethnic grouping only the least desirable of white women settle for muh dick these women have either low self esteem daddy issues and or low iq a deadly combination for white women <user>,nigger male faggot low another reason aid figure prominently ethnic grouping least desirable white woman settle muh dick woman either low self esteem daddy issue low deadly combination white woman user,African,train,14463649_gab
ah k white nationalism is perfect and infallible and you are a cuck faggot who takes it up the ass from blacks if you disagree in any way that seems to cover it,white nationalism perfect infallible cuck faggot take as black disagree way seems cover,African,train,18490131_gab
lol trump is gutting that nigger bitch like a carp,lol trump gutting nigger bitch like carp,African,train,13379296_gab
ann coulter <user> this daily trump melodrama is worth it only if he really going to build the wall cut off muslim refugees and deport illegals,ann coulter user daily trump melodrama worth really going build wall cut muslim refugee deport illegals,Muslim/Arab,train,8922784_gab
because british men are cuckolds and too cowardly to do what needed it quite pathetic if that happened to my daughter or sister there d be a tribes worth of sand niggers finding out there no virgins waiting for them,british men cuckold cowardly needed quite pathetic happened daughter sister tribe worth sand nigger finding virgin waiting,African,train,24409503_gab
<user> what about us white arabs,user white arab,Muslim/Arab,train,1098349742675898368_twitter
bitch you white nigga is a faggot your kids are demon possessed over blk ppl your pussy is worthless you are a whore you and ur household all suck the same dick you are jealous of innocent blk ppl you are a squatter in blk neighborhoods you are jealous of jesus ur disgusting,bitch white nigga faggot kid demon possessed blk ppl pussy worthless whore household suck dick jealous innocent blk ppl squatter blk neighborhood jealous jesus disgusting,African,train,1178537088754622464_twitter
not wanting to leave the house due to equal parts depression and not wanting to acknowledge the existence of all the ignorant sister banging idiotic fucking redneck pieces of garbage that live in this shitheel podunk white trash map stain i live in,wanting leave house due equal part depression wanting acknowledge existence ignorant sister banging idiotic fucking redneck piece garbage live shitheel podunk white trash map stain live,White,train,1178842919773581312_twitter
intense white male listening is just as threatening and violent as the white male gaze stop listening at us,intense white male listening threatening violent white male gaze stop listening,White,train,16434890_gab
oh we got somebody trying to defend the murderous negro community and the drug dealing hispanic community you are also defending those mongrels the islam they say white people are all racist and we can only be racist then their stereotype apply as well,got somebody trying defend murderous negro community drug dealing hispanic community also defending mongrel islam say white people racist racist stereotype apply well,Hispanic,train,11619975_gab
i have nothing against blacks asians hispanics mixed but if you include them in movies or video games it forced diversity 😡 😡 😡 😡,nothing black asian hispanic mixed include movie video game forced diversity,Asian,train,1091427048755732482_twitter
that sound you hear in the distance is the 2 nd civil war approaching texas state student paper ran a pro white genocide article ontologically speaking white death will mean liberation for all … until then remember this i hate you because you should not exist,sound hear distance civil war approaching texas state student paper ran pro white genocide article ontologically speaking white death mean liberation remember hate exist,White,train,15354084_gab
what a fucking nigger fag pantload i wonder who actually wrote that for this affirmative action push along toy,fucking nigger fag pantload wonder actually wrote affirmative action push along toy,African,train,11580960_gab
only when middle school girls drive dykes to the nuthouse underage shitskin rapists get their ids protected,middle school girl drive dyke nuthouse underage shitskin rapist get id protected,General,train,27758571_gab
based hot jew andrew mix with asians anglin,based hot jew andrew mix asian anglin,Asian,train,24235305_gab
<user> there does seem to be an uncanny similarity between the current usual suspects and previous ‘ asians ’,user seem uncanny similarity current usual suspect previous asian,Asian,train,1167659752266113025_twitter
ugly commie bull dyke cunt,ugly commie bull dyke cunt,General,train,22898862_gab
so i posted on craigslist rnr wondering why there were so many beaners in this town and i get this as a response i knew there were illiterates out there but this one is ridiculous,posted craigslist rnr wondering many beaner town get response knew illiterate one ridiculous,General,train,27201633_gab
wow go figure once again the placed crowd at new year rockin eve is mainly chinks niggers beaners muslims kikes dykes faggots and chicks with dicks,wow figure placed crowd new year rockin eve mainly chink nigger beaner muslim kike dyke faggot chick dick,African,train,17138988_gab
why do not you respond to my posts you white nigger lying sack of shit i called you out for being a fed <number> days before you published it on your website faggot <user> ‍,respond post white nigger lying sack shit called fed number day published website faggot user,African,train,23332141_gab
<user> tell us first who are these white supremacists how do we know that you are not one of them,user tell first white supremacist know one,White,train,1162556202821115904_twitter
the kike shill psyop ricky vaughn has deleted his post where he stated white identity does not exist so i will post the screen shot here now ask ricky tkr get gassed faggot,kike shill psyop ricky vaughn deleted post stated white identity exist post screen shot ask ricky tkr get gassed faggot,White,train,22967436_gab
this is atrocious fuck this nigger bitch,atrocious fuck nigger bitch,African,train,16781658_gab
how dafuk a ching chong gone deliver mah food wit all dis snow out heah shiet nigga best brang mah food,dafuk ching chong gone deliver mah food wit dis snow heah shiet nigga best brang mah food,African,train,17330056_gab
better call the anti defamation league you gay jew faggot,better call anti defamation league gay jew faggot,Jewish,train,11758726_gab
hell yeah proof that the anti q trolls here are fake alt right kike dick suckers,hell yeah proof anti troll fake alt right kike dick sucker,General,train,23290934_gab
nice ghetto rims faggot,nice ghetto rim faggot,General,train,20864492_gab
bro i swear to god i fucking hate white girls you little ugly ass maggots,bro swear god fucking hate white girl little ugly as maggot,White,train,1178869912728567809_twitter
be good for you to knock off promoting the fictional kike faggot jesus christ insanity perversion in general,good knock promoting fictional kike faggot jesus christ insanity perversion general,General,train,19679152_gab
omfg they are still repeating the fake news that the killer was a white supremacist 🤣 <user> ‍ he hurled slurs at blacks and muslims and according to the anti defamation league had ties to white supremacists,omfg still repeating fake news killer white supremacist user hurled slur black muslim according anti defamation league tie white supremacist,African,train,19966687_gab
filthy jet black nigga backstage full of white bitches no i do not sell like macklemore but i have got white privilege,filthy jet black nigga backstage full white bitch sell like macklemore got white privilege,African,train,1179051027187818498_twitter
if i hear the phrase white privilege one more time i am going to opt to come back in my next life as a black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece of shit in other words everything i have not been in this life,hear phrase white privilege one time going opt come back next life black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece shit word everything life,Jewish,train,22421440_gab
people do not let your dislike of illegal immigrants cloud your judgment i resent illegal immigrants that does not mean i hate mexicans i have more resentment for visas issued to foreign it workers in silicon valley than i do for the people picking my lettuce and tomatoes,people let dislike illegal immigrant cloud judgment resent illegal immigrant mean hate mexican resentment visa issued foreign worker silicon valley people picking lettuce tomato,Hispanic,train,8154294_gab
you are a dumb spic that can not spell spaniard,dumb spic spell spaniard,Hispanic,train,24119382_gab
niggaz was fat in the good old days and they usually died of heartattacks by fitty from crack cocaine and chasing white women dat nigger found jesus and a guru,niggaz fat good old day usually died heartattacks fitty crack cocaine chasing white woman dat nigger found jesus guru,African,train,21854608_gab
birds of prey listening to margot robbie talk like a retarded white girl who thinks she can drop the n word any time she wants for <number> hours hard pass,bird prey listening margot robbie talk like retarded white girl think drop word time want number hour hard pas,White,train,1179103603581243393_twitter
<user> snerfbucket ima try call me nigger,user snerfbucket ima try call nigger,African,train,1170769_gab
watching <number> minutes and the lawlessness of nigger hood rats the chicago police dept have given up result <percent> increase in homicides,watching number minute lawlessness nigger hood rat chicago police dept given result percent increase homicide,African,train,3525836_gab
it the natural order in apfrica and the me for the men to literally sit around and have the women do the work look at any coffee shop in minneapolis or other cities infested by zoomalis bantus or arabs and you will see it,natural order apfrica men literally sit around woman work look coffee shop minneapolis city infested zoomalis bantu arab see,Muslim/Arab,train,15618393_gab
the jews the comies the nigz the muzzies,jew comies nigz muzzies,Jewish,train,21005747_gab
shock as nigger turns out to be a nigger,shock nigger turn nigger,African,train,26656403_gab
white people need to start caring about their own kind instead of bending over backwards for every jigaboo savage that would gladly kill them for fun or for their cell phone,white people need start caring kind instead bending backwards every jigaboo savage would gladly kill fun cell phone,White,train,12151236_gab
what a choice the cucknadians must choose between a retarded asshole globalist crypto muslim puppet or a communist parasite either way cucknada is fucked,choice cucknadians must choose retarded asshole globalist crypto muslim puppet communist parasite either way cucknada fucked,Muslim/Arab,train,16436197_gab
any urgent questions in parliament today about telford do not be such nervous nelly paki moslem child rape gangs are just part parcel etc etc,urgent question parliament today telford nervous nelly paki moslem child rape gang part parcel etc etc,General,train,21546923_gab
you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,faggot ad nigga keep trying sabotage work bitch as poppy jehovah witness control make fuck mother fuck abc news bitch ad tech asshole,African,train,1178301216981504001_twitter
watch bbc on muslims abandoning eu <number> syria the father honestly says it bcs they do not like girls being told they have freewill by supposedly educated pple bcs women don t in islam sharia sharialaw realitycheck fgm misogyny hijab rapeculture abuse violence woman women girl girls womansrights womensrights brexit,watch bbc muslim abandoning number syria father honestly say bcs like girl told freewill supposedly educated pple bcs woman islam sharia sharialaw realitycheck fgm misogyny hijab rapeculture abuse violence woman woman girl girl womansrights womensrights brexit,Muslim/Arab,train,26456409_gab
i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within <number> feet of my daughters and thats your life over checkout time mohammed,look mudslime news europe think wish goat fucker would try shit louisiana get within number foot daughter thats life checkout time mohammed,General,train,6042008_gab
claire balding i know you can be raped by some niggas you dyke,claire balding know raped nigga dyke,African,train,24304008_gab
<user> <user> <user> what mother fucker your white ass think his black ass playing with your white asses wigger please he dead ass that a no go my ass would cancel that show just to be safe and protect everyone asses in that town <user> out here saving lives,user user user mother fucker white as think black as playing white ass wigger please dead as as would cancel show safe protect everyone ass town user saving life,African,train,1178655780029042688_twitter
force normies to choose between well dressed white men with american flags and smelly commie faggots with soviet flags antifa attacks us in such a scenario they lose antifa does not attack us they lose,force normies choose well dressed white men american flag smelly commie faggot soviet flag antifa attack scenario lose antifa attack lose,White,train,12781022_gab
i love when jews say how they really feel,love jew say really feel,Jewish,train,6978106_gab
<user> <user> i witnessed my black teammates defend and agree with my overtly racist white friend for calling a black dude a nigger i tried to defend dude being called nigger and they all hated on me,user user witnessed black teammate defend agree overtly racist white friend calling black dude nigger tried defend dude called nigger hated,African,train,1178226486081286144_twitter
also that he a faggot and serial mudshark,also faggot serial mudshark,General,train,13063961_gab
well i do not agree with dinesh trump or anyone really d however the right is indeed more populist right now while left establishment is getting too greedy and using virtue signaling to undermine those and others they claim to support ghetto pimping,well agree dinesh trump anyone really however right indeed populist right left establishment getting greedy using virtue signaling undermine others claim support ghetto pimping,General,train,23669800_gab
some spick kids scratched my parents car today and for whatever reason i did not call the cops and just scared them away,spick kid scratched parent car today whatever reason call cop scared away,Hispanic,train,27305748_gab
sure nigger loving whore sure,sure nigger loving whore sure,African,train,11947521_gab
um lazy stupid nigger savages,lazy stupid nigger savage,African,train,24643552_gab
trump scumbag former spic advisor just pushed for daca amnesty daca amnesty is war,trump scumbag former spic advisor pushed daca amnesty daca amnesty war,Hispanic,train,17305899_gab
anti white feminist is attacked by a violent shitskin and promptly blames white men for not saving her she does not blame the shitskin instead says he just needs help and pity oh did i mention she jewish how shocking,anti white feminist attacked violent shitskin promptly blame white men saving blame shitskin instead say need help pity mention jewish shocking,Jewish,train,27058756_gab
the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another,boomer toughguy became object general loathing observing one train casually interacting sulking sheboon going way call one obsequious instance another,General,train,13110414_gab
real niggas only you pussy faggots,real nigga pussy faggot,African,train,1178338068878778368_twitter
not a single peep from racist nigger obama nor vapid cunt hillary nor heeb bernie fuck you,single peep racist nigger obama vapid cunt hillary heeb bernie fuck,African,train,9468538_gab
but one of them is a nigger,one nigger,African,train,21868115_gab
right away the nigger goes to muh dik should be legal to decorate the city lampposts with these stupid animals,right away nigger go muh dik legal decorate city lamppost stupid animal,African,train,6144966_gab
you know what sicker if even possible than that happened to the white kid kidnapped in chicago is that some sick fucking people see it for anything else than what it fucking is a brutal unacceptable hate crime fuck you people like don t lemon worst reporter in cnn in <number>,know sicker even possible happened white kid kidnapped chicago sick fucking people see anything else fucking brutal unacceptable hate crime fuck people like lemon worst reporter cnn number,White,train,3686020_gab
♫ after debris settles and the dust gets swept off young hwytes pick up where big a had left off right when kike magazines wrote the west off we used the internet for something better than to jack off ♫,debris settle dust get swept young hwytes pick big left right kike magazine wrote west used internet something better jack,General,train,13987009_gab
blacksketball is now owned by black rules first they put in the dunk then they stopped calling walking palming the ball carrying the ball and now the college refs are also calling ghetto playground basketball we need a new basketball league where white people again make the rules,blacksketball owned black rule first put dunk stopped calling walking palming ball carrying ball college ref also calling ghetto playground basketball need new basketball league white people make rule,African,train,21168353_gab
national capitalism now no wanting people to have money is hatespeech and stop calling it national capitalism we jews decided political dissenters of zionism should call themselves national socialists so that conservatives and christians capitalists never listen to them,national capitalism wanting people money hatespeech stop calling national capitalism jew decided political dissenter zionism call national socialist conservative christian capitalist never listen,Jewish,train,18596533_gab
never let a nigga with no money disrespect you that ’ ghetto 🥴,never let nigga money disrespect ghetto,African,train,1203708372094267392_twitter
haredi none haredi jews have similar low math scores ashkenazi make up <number> of israel population so nope ashkenazi arent the exception all jews are hybrid mongerels jews are all low i q sand niggers there are no exceptions,haredi none haredi jew similar low math score ashkenazi make number israel population nope ashkenazi arent exception jew hybrid mongerels jew low sand nigger exception,Jewish,train,11560882_gab
<user> man niggas got thin ass jackets and shit 😭,user man nigga got thin as jacket shit,African,train,1193988623185694721_twitter
adios nigger lover,adios nigger lover,African,train,19030152_gab
deport his unfunny fat kike ass back to canadastan make america funny again,deport unfunny fat kike as back canadastan make america funny,General,train,13358006_gab
white sharia is shit we are not muslims and do not want to be fuck of with that retarded idea,white sharia shit muslim want fuck retarded idea,Muslim/Arab,train,12197351_gab
i post a video showing the shocking promotion of violence by the south african eff themselves and jewtube still say i am promoting violence,post video showing shocking promotion violence south african eff jewtube still say promoting violence,African,train,23316721_gab
what a muslim does in the privacy of his own goat is disgusting better not put a picture here try not to imagine one either,muslim privacy goat disgusting better put picture try imagine one either,Muslim/Arab,train,12651974_gab
yeah you are filthy little bone smoking kike,yeah filthy little bone smoking kike,General,train,20887656_gab
that is just too retarded even by nigger standards,retarded even nigger standard,African,train,20597923_gab
it like <number> <number> points above american whites in japan and south korea tbh but this is what happens when hostile aliens control your country watch out if you are eyeing south korea though since the importation of jungle asians and poo in the loos is occurring on the downlow,like number number point american white japan south korea tbh happens hostile alien control country watch eyeing south korea though since importation jungle asian poo loo occurring downlow,Asian,train,22249621_gab
i dissent the pact between jews muslims to rig the towers with thermite while promising the arabs the usa in return the jew world order,dissent pact jew muslim rig tower thermite promising arab usa return jew world order,Muslim/Arab,train,5857792_gab
niggers dindu and do not do nuffin these apes are beyond just obsolete farm equipment oh and this don lemon monkey is a faggot too <user>,nigger dindu nuffin ape beyond obsolete farm equipment lemon monkey faggot user,African,train,27107089_gab
lol gross as fuck seriously dont post that shit i cant stand sand nigger chicks i will have to unfollow if you do,lol gross fuck seriously dont post shit cant stand sand nigger chick unfollow,African,train,20028637_gab
yeah if you do not support my corrupt multiculti globo homo military run by a corrupt government controlled by jews then you have no balls brilliant,yeah support corrupt multiculti globo homo military run corrupt government controlled jew ball brilliant,Jewish,train,23085003_gab
if it had been a shitskin goatfucker from the mosque do you think they would have arrested him nope,shitskin goatfucker mosque think would arrested nope,General,train,23450643_gab
nigga melly said “ i get a ssi check i ’ m retarded fr ” 🤣,nigga melly said get ssi check retarded,African,train,1226181982562004992_twitter
it ghetto talk though it basically meant degenerate stereotypical trashy woman,ghetto talk though basically meant degenerate stereotypical trashy woman,General,train,16825934_gab
the only kike here is you,kike,General,train,12009892_gab
black ppl who went to all white schools become annoying ass adults 😂 😂 😂 😂,black ppl went white school become annoying as adult,African,train,1179098553320386560_twitter
failed moslem terrorists do not get any virgins just arse raped for eternity by big dindu nuffins with bars of soap they only use for the occasion,failed moslem terrorist get virgin arse raped eternity big dindu nuffins bar soap use occasion,Muslim/Arab,train,15979921_gab
saying the n word if you ’ re white means you ’ re racist and saying the f word if you ’ re straight means you ’ re homophobic idc what u say,saying word white mean racist saying word straight mean homophobic idc say,White,train,1234258840557936640_twitter
<user> wow porch monkey ur mean,user wow porch monkey mean,General,train,1178852610025111553_twitter
<user> <user> all white men do is lie and colonize nothing else,user user white men lie colonize nothing else,White,train,1179069022752645120_twitter
<user> yeah there all nazis,user yeah nazi,General,train,1088873336657059841_twitter
it used to be associating with jews meant you had a good accountant or doctor and an extra dinner party to mark on the calendar now it means fbi raids bdsm perversion soiled potted plants and deep state coup attempts how the chosen have fallen,used associating jew meant good accountant doctor extra dinner party mark calendar mean fbi raid bdsm perversion soiled potted plant deep state coup attempt chosen fallen,Jewish,train,25401380_gab
i think at this point it better to just have a set day like every 1 2 th or something so people do not get confused like how we do with blackout you all really should be taking notes from the niggers,think point better set day like every something people get confused like blackout really taking note nigger,African,train,1178711725924855808_twitter
well it sleeping beauty they plan to rewrite first cause she never gave consent to be kissed by the prince the left are seriously fucked in the head and if the bbc show it i am sure she will be a black moslem like thor was,well sleeping beauty plan rewrite first cause never gave consent kissed prince left seriously fucked head bbc show sure black moslem like thor,African,train,15611789_gab
lmao this snow nigger is fuming so hard he brought out his ebonics 😂 🤣 😂 🤣 😂 🤣 😂 😂 😂 🤣 😂 🤣 lol this is your future daughters homeboi,lmao snow nigger fuming hard brought ebonics lol future daughter homeboi,African,train,18416152_gab
lmao insert some attempt a insult that only works w new right kike worshipping cerno dick sucking gorilla vox pedo faggots,lmao insert attempt insult work new right kike worshipping cerno dick sucking gorilla vox pedo faggot,General,train,13909479_gab
i want to go back to school and get an education but i am poor and colleges are kike rip offs i am not satisfied with where i am in life and honestly have no clue where or how to start pushing forward,want back school get education poor college kike rip offs satisfied life honestly clue start pushing forward,General,train,20084998_gab
i would repatriate all mongoloid negroids if i had the power at this very moment giving each negroid and mongoloid as many jews as they wanted as slaves as an incentive to leave until all of them were gone,would repatriate mongoloid negroid power moment giving negroid mongoloid many jew wanted slave incentive leave gone,Jewish,train,19955302_gab
when i see a nigger bich i do not see a woman i see a turd wit a brillohaid,see nigger bich see woman see turd wit brillohaid,African,train,19607225_gab
well it turns out that ann coulter is just another media whore and her shtick is blind hatred toward hispanics the truth is that god mercy does not contradict his righteousness it is demanded by it somewhere between the lefts lionization of immigrants and coulter hatred is the truth,well turn ann coulter another medium whore shtick blind hatred toward hispanic truth god mercy contradict righteousness demanded somewhere left lionization immigrant coulter hatred truth,Hispanic,train,17635175_gab
these nigger biches look like aunt jemima,nigger biches look like aunt jemima,African,train,26502494_gab
acts <number> <number> generation see st luke <time> for if god comes right now immediately he will find that the white devil people are virtually literally spiritually running rampant like loose cannons running helter skelter everywhere like chickens with their heads removed,act number number generation see luke time god come right immediately find white devil people virtually literally spiritually running rampant like loose cannon running helter skelter everywhere like chicken head removed,White,train,1178431628923871232_twitter
they either pick the gimmick light skin bitch or the white boy to profit off of and it never works,either pick gimmick light skin bitch white boy profit never work,White,train,1096132147054854144_twitter
that is probably for my obamas homosexual escapade that morning,probably obamas homosexual escapade morning,General,train,19775212_gab
anything they say is a lie nigger just means black only blax use it becasue whites do not give a fuck about blax they just like controlling whites,anything say lie nigger mean black blax use becasue white give fuck blax like controlling white,African,train,12737648_gab
hey yankees can you please stop to associate flamenco with arabs to associate rumba with black music to associate pre colombians with latinos to pretend that africa is in orient to pretend that you are pioneers when you are colons thanks,hey yankee please stop associate flamenco arab associate rumba black music associate pre colombian latino pretend africa orient pretend pioneer colon thanks,African,train,14993624_gab
long dead redneck friend of mine when discussing basketball said i have never seen a nigger run so fast unless he had a tv under each arm,long dead redneck friend mine discussing basketball said never seen nigger run fast unless arm,African,train,9988900_gab
<user> lying atheistic communist jews are hurting the image of my people shanda,user lying atheistic communist jew hurting image people shanda,Jewish,train,1094042528024850433_twitter
again why are you so defensive about it is some nazi gonna come in and call you a name so what i have been called nigger more times than i can count,defensive nazi gonna come call name called nigger time count,African,train,13501213_gab
goodnight nigger lover lover,goodnight nigger lover lover,African,train,15764545_gab
they are called liberals and we are called nazis by the msm mediacrats misapplication of terms began in 1 9 6 0 during vnw weathermen underground communists bill ayers and his bitch bernadine dohrn who schooled frank marshall davis son obama fathered with a mudshark porn hoe,called liberal called nazi msm mediacrats misapplication term began vnw weatherman underground communist bill ayers bitch bernadine dohrn schooled frank marshall davis son obama fathered mudshark porn hoe,General,train,16199191_gab
i want to jimmy kimmel to do one of those ate kids halloween candy videos but instead of halloween candy challenge suburban white parents to call <number> black kids that knock on their door niggers,want jimmy kimmel one ate kid halloween candy video instead halloween candy challenge suburban white parent call number black kid knock door nigger,African,train,1178671623324540928_twitter
<user> soo like is she a nazi,user soo like nazi,General,train,1266414967085031432_twitter
kikes are the real problem pay all refugees and muslims to leave for uk and france,kike real problem pay refugee muslim leave france,Muslim/Arab,train,20110393_gab
<user> just the jews you fucking kike,user jew fucking kike,Jewish,train,17336541_gab
<user> fuck you and die you fuckin lezzie nigger white hating cunt,user fuck die fuckin lezzie nigger white hating cunt,African,train,24116289_gab
i want a truth and no reconciliation these fuckers who have done this to our lands must confess that they lied to shitskins and flooded our lands to destroy shitskins must be told the truth we knew you would fuck shit up so we sent you into white lands,want truth reconciliation fucker done land must confess lied shitskins flooded land destroy shitskins must told truth knew would fuck shit sent white land,White,train,27617010_gab
no do not lie these shithole are great places for niggers and spics and arabs to live they all will be happy together without wypipo,lie shithole great place nigger spic arab live happy together without wypipo,Muslim/Arab,train,26089002_gab
everyone wants to be nct everyone the entirety of kpop if they dont wanna be niggers they wanna be nct,everyone want nct everyone entirety kpop dont wanna nigger wanna nct,African,train,1178765633162485760_twitter
did i say soley you disingenuous kike rat i said <percent> and it would be better without your <percent> plus the other former <percent> thanks kikes for crankung rhat up to <percent>,say soley disingenuous kike rat said percent would better without percent plus former percent thanks kike crankung rhat percent,General,train,11534429_gab
u notice people like <user> are not too eager at exploring or talk abt the jewish and israeli connections the evidence for which there is plenty dancing israelis truck bomb jews urban moving systems jews suter wtc lease ring jews gelatine art students etc etc just arabs arabs arabs,notice people like user eager exploring talk abt jewish israeli connection evidence plenty dancing israeli truck bomb jew urban moving system jew suter wtc lease ring jew gelatine art student etc etc arab arab arab,Jewish,train,4480442_gab
